source,target,weight
u46,u57,0.2727272727272727
u46,u47,0.0
u46,u49,0.32727272727272727
u46,u27,0.4727272727272727
u46,u02,0.5272727272727272
u46,u05,0.23636363636363636
u46,u08,0.21818181818181817
u46,u10,0.21818181818181817
u46,u15,0.34545454545454546
u46,u16,0.12727272727272726
u46,u18,0.03636363636363636
u46,u24,0.2
u46,u30,0.3090909090909091
u46,u33,0.21818181818181817
u46,u43,0.18181818181818182
u46,u54,0.16363636363636364
u08,u42,0.0
u08,u09,0.16363636363636364
u08,u59,0.12727272727272726
u08,u01,0.07272727272727272
u08,u19,0.14545454545454545
u08,u57,0.05454545454545454
u08,u49,0.03636363636363636
u08,u27,0.10909090909090909
u08,u33,0.09090909090909091
u08,u24,0.05454545454545454
u08,u02,0.10909090909090909
u08,u05,0.21818181818181817
u08,u10,0.16363636363636364
u08,u15,0.18181818181818182
u08,u16,0.09090909090909091
u08,u18,0.10909090909090909
u08,u30,0.16363636363636364
u08,u43,0.01818181818181818
u08,u54,0.2
u02,u09,0.4
u02,u59,0.41818181818181815
u02,u01,0.2545454545454545
u02,u19,0.2727272727272727
u02,u20,0.01818181818181818
u02,u57,0.8909090909090909
u02,u49,0.10909090909090909
u02,u27,0.2727272727272727
u02,u33,0.21818181818181817
u02,u24,0.2909090909090909
u02,u15,0.2727272727272727
u02,u10,0.18181818181818182
u02,u05,0.23636363636363636
u02,u16,0.5818181818181818
u02,u18,0.2
u02,u30,0.41818181818181815
u02,u43,0.2545454545454545
u02,u54,0.2545454545454545
u30,u09,0.6363636363636364
u30,u59,0.34545454545454546
u30,u01,0.32727272727272727
u30,u19,0.5636363636363636
u30,u20,0.0
u30,u57,0.45454545454545453
u30,u47,0.01818181818181818
u30,u49,0.36363636363636365
u30,u27,0.2545454545454545
u30,u33,0.36363636363636365
u30,u24,0.34545454545454546
u30,u15,0.41818181818181815
u30,u10,0.21818181818181817
u30,u16,0.5636363636363636
u30,u05,0.6363636363636364
u30,u54,0.43636363636363634
u30,u43,0.23636363636363636
u30,u18,0.21818181818181817
u36,u01,0.0
u36,u09,0.0
u36,u10,0.0
u36,u16,0.0
u36,u59,0.01818181818181818
u01,u09,0.16363636363636364
u01,u59,0.23636363636363636
u01,u05,0.10909090909090909
u01,u10,0.18181818181818182
u01,u15,0.23636363636363636
u01,u16,0.05454545454545454
u01,u18,0.14545454545454545
u01,u19,0.05454545454545454
u01,u24,0.14545454545454545
