source,target,weight
u27,u52,1.0
u27,u53,1.0
u27,u54,1.0
u27,u57,1.0
u27,u58,1.0
u27,u59,1.0
u07,u02,2.0
u07,u31,2.0
u07,u03,1.0
u07,u05,1.0
u07,u08,1.0
u07,u10,1.0
u07,u13,1.0
u07,u15,1.0
u07,u16,1.0
u07,u18,1.0
u07,u19,1.0
u07,u20,1.0
u07,u23,1.0
u07,u24,2.0
u07,u30,1.0
u07,u41,1.0
u07,u43,1.0
u07,u44,2.0
u07,u45,1.0
u07,u46,1.0
u07,u50,2.0
u07,u51,1.0
u07,u52,1.0
u07,u53,1.0
u07,u54,1.0
u07,u57,2.0
u07,u58,1.0
u07,u59,1.0
u46,u02,1.0
u46,u03,1.0
u46,u05,2.0
u46,u08,1.0
u46,u10,2.0
u46,u13,1.0
u46,u15,1.0
u46,u16,1.0
u46,u18,1.0
u46,u19,2.0
u46,u20,1.0
u46,u23,1.0
u46,u24,1.0
u46,u30,2.0
u46,u31,1.0
u46,u41,2.0
u46,u43,1.0
u46,u44,1.0
u46,u45,1.0
u46,u50,1.0
u46,u51,1.0
u46,u52,2.0
u46,u53,1.0
u46,u54,1.0
u46,u57,1.0
u46,u58,1.0
u46,u59,1.0
u41,u02,1.0
u41,u03,1.0
u41,u05,2.0
u41,u08,1.0
u41,u10,2.0
u41,u13,1.0
u41,u15,1.0
u41,u16,1.0
u41,u18,1.0
u41,u19,2.0
u41,u20,1.0
u41,u23,1.0
u41,u24,1.0
u41,u30,2.0
u41,u31,1.0
u41,u43,1.0
u41,u44,1.0
u41,u45,1.0
u41,u50,1.0
u41,u51,1.0
u41,u52,2.0
u41,u53,1.0
u41,u54,1.0
u41,u57,1.0
u41,u58,1.0
u41,u59,1.0
u51,u02,1.0
u51,u03,1.0
u51,u05,1.0
u51,u08,1.0
u51,u10,1.0
u51,u13,2.0
u51,u15,1.0
u51,u16,1.0
u51,u18,1.0
u51,u19,1.0
u51,u20,2.0
u51,u23,2.0
u51,u24,1.0
u51,u30,1.0
u51,u31,1.0
u51,u43,1.0
u51,u44,1.0
u51,u45,2.0
u51,u50,1.0
u51,u52,1.0
u51,u53,1.0
u51,u54,1.0
u51,u57,1.0
u51,u58,2.0
u51,u59,1.0
u08,u02,1.0
u08,u03,1.0
u08,u05,1.0
u08,u10,1.0
u08,u13,1.0
u08,u15,1.0
u08,u16,1.0
u08,u18,2.0
u08,u19,1.0
u08,u20,1.0
u08,u23,1.0
u08,u24,1.0
u08,u30,1.0
u08,u31,1.0
u08,u43,1.0
u08,u44,1.0
u08,u45,1.0
u08,u50,1.0
u08,u52,1.0
u08,u53,2.0
u08,u54,1.0
u08,u57,1.0
u08,u58,1.0
u08,u59,1.0
u15,u02,1.0
u15,u03,1.0
u15,u05,1.0
u15,u10,1.0
u15,u13,1.0
u15,u16,1.0
u15,u18,1.0
u15,u19,1.0
u15,u20,1.0
u15,u23,1.0
u15,u24,1.0
u15,u30,1.0
u15,u31,1.0
u15,u43,1.0
u15,u44,1.0
u15,u45,1.0
u15,u50,1.0
u15,u52,1.0
u15,u53,1.0
u15,u54,1.0
u15,u57,1.0
u15,u58,1.0
u15,u59,1.0
u45,u02,1.0
u45,u03,1.0
u45,u05,1.0
u45,u10,1.0
u45,u13,2.0
u45,u16,1.0
u45,u18,1.0
u45,u19,1.0
u45,u20,2.0
u45,u23,2.0
u45,u24,1.0
u45,u30,1.0
u45,u31,1.0
u45,u43,1.0
u45,u44,1.0
u45,u50,1.0
u45,u52,1.0
u45,u53,1.0
u45,u54,1.0
u45,u57,1.0
u45,u58,2.0
u45,u59,1.0
u02,u31,2.0
u02,u57,2.0
u02,u03,1.0
u02,u05,1.0
u02,u10,1.0
u02,u13,1.0
u02,u16,1.0
u02,u18,1.0
u02,u19,1.0
u02,u20,1.0
u02,u23,1.0
u02,u24,1.0
u02,u30,1.0
u02,u43,1.0
u02,u44,1.0
u02,u50,1.0
u02,u52,1.0
u02,u53,1.0
u02,u54,1.0
u02,u58,1.0
u02,u59,1.0
u16,u03,1.0
u16,u05,1.0
u16,u10,1.0
u16,u13,1.0
u16,u18,1.0
u16,u19,1.0
u16,u20,1.0
u16,u23,1.0
u16,u24,1.0
u16,u30,1.0
u16,u31,1.0
u16,u43,1.0
u16,u44,1.0
u16,u50,1.0
u16,u52,1.0
u16,u53,1.0
u16,u54,1.0
u16,u57,1.0
u16,u58,1.0
u16,u59,1.0
u54,u03,1.0
u54,u05,1.0
u54,u10,1.0
u54,u13,1.0
u54,u18,1.0
u54,u19,1.0
u54,u20,1.0
u54,u23,1.0
u54,u24,1.0
u54,u30,1.0
u54,u31,1.0
u54,u43,1.0
u54,u44,1.0
u54,u50,1.0
u54,u52,1.0
u54,u53,1.0
u54,u57,1.0
u54,u58,1.0
u54,u59,1.0
u54,u33,1.0
u43,u03,1.0
u43,u05,1.0
u43,u10,1.0
u43,u13,1.0
u43,u18,1.0
u43,u19,1.0
u43,u20,1.0
u43,u23,1.0
u43,u24,1.0
u43,u30,1.0
u43,u31,1.0
u43,u44,1.0
u43,u50,1.0
u43,u52,1.0
u43,u53,1.0
u43,u57,1.0
u43,u58,1.0
u43,u59,1.0
u50,u03,1.0
u50,u05,1.0
u50,u10,1.0
u50,u13,1.0
u50,u18,1.0
u50,u19,1.0
u50,u20,1.0
u50,u23,1.0
u50,u24,2.0
u50,u30,1.0
u50,u31,1.0
u50,u44,2.0
u50,u52,1.0
u50,u53,1.0
u50,u57,2.0
u50,u58,1.0
u50,u59,1.0
u18,u03,1.0
u18,u05,1.0
u18,u10,1.0
u18,u13,1.0
u18,u19,1.0
u18,u20,1.0
u18,u23,1.0
u18,u24,1.0
u18,u30,1.0
u18,u31,1.0
u18,u44,1.0
u18,u52,1.0
u18,u53,2.0
u18,u57,1.0
u18,u58,1.0
u18,u59,1.0
u30,u03,1.0
u30,u05,2.0
u30,u10,2.0
u30,u13,1.0
u30,u19,2.0
u30,u20,1.0
u30,u23,1.0
u30,u24,1.0
u30,u31,2.0
u30,u44,1.0
u30,u52,2.0
u30,u53,1.0
u30,u57,1.0
u30,u58,1.0
u30,u59,1.0
u23,u03,1.0
u23,u05,1.0
u23,u10,1.0
u23,u13,2.0
u23,u19,1.0
u23,u20,2.0
u23,u24,1.0
u23,u31,1.0
u23,u44,1.0
u23,u52,1.0
u23,u53,1.0
u23,u57,1.0
u23,u58,2.0
u23,u59,1.0
u52,u03,1.0
u52,u05,2.0
u52,u10,2.0
u52,u13,1.0
u52,u19,2.0
u52,u20,1.0
u52,u24,1.0
u52,u31,1.0
u52,u44,1.0
u52,u53,1.0
u52,u57,1.0
u52,u58,1.0
u52,u59,1.0
u13,u03,1.0
u13,u05,1.0
u13,u10,1.0
u13,u19,1.0
u13,u20,2.0
u13,u24,1.0
u13,u31,1.0
u13,u44,1.0
u13,u53,1.0
u13,u57,1.0
u13,u58,2.0
u13,u59,1.0
u58,u03,1.0
u58,u05,1.0
u58,u10,1.0
u58,u19,1.0
u58,u20,2.0
u58,u24,1.0
u58,u31,1.0
u58,u44,1.0
u58,u53,1.0
u58,u57,1.0
u58,u59,1.0
u44,u03,1.0
u44,u05,1.0
u44,u10,1.0
u44,u19,1.0
u44,u20,1.0
u44,u24,2.0
u44,u31,1.0
u44,u53,1.0
u44,u57,2.0
u44,u59,1.0
u59,u03,1.0
u59,u05,1.0
u59,u10,1.0
u59,u19,1.0
u59,u20,1.0
u59,u24,1.0
u59,u31,1.0
u59,u53,1.0
u59,u57,1.0
u01,u33,1.0
u19,u03,1.0
u19,u05,2.0
u19,u10,2.0
u19,u20,1.0
u19,u24,1.0
u19,u31,1.0
u19,u53,1.0
u19,u57,1.0
u20,u03,1.0
u20,u05,1.0
u20,u10,1.0
u20,u24,1.0
u20,u31,1.0
u20,u53,1.0
u20,u57,1.0
u57,u03,1.0
u57,u05,1.0
u57,u10,1.0
u57,u24,2.0
u57,u31,1.0
u57,u53,1.0
u03,u05,1.0
u03,u10,1.0
u03,u24,1.0
u03,u31,1.0
u03,u53,1.0
u24,u05,1.0
u24,u10,1.0
u24,u31,1.0
u24,u53,1.0
u53,u05,1.0
u53,u10,1.0
u53,u31,1.0
u10,u05,2.0
u10,u31,1.0
u05,u31,1.0
